month,corridor,direction,vehicles_per_day
2026-02,Portage Street,incoming,6535
2026-02,Portage Street,outgoing,7013
2026-02,South Westnedge Avenue,incoming,11485
2026-02,South Westnedge Avenue,outgoing,12374
2026-02,Stadium Drive,incoming,13179
2026-02,Stadium Drive,outgoing,13347
2026-02,West Main Street,incoming,13560
2026-02,West Main Street,outgoing,14734
2026-02,West Michigan Avenue,incoming,8992
2026-02,West Michigan Avenue,outgoing,8204
2026-03,Amvets Memorial Highway,incoming,6481
2026-03,Amvets Memorial Highway,outgoing,6759
2026-03,Bus US-131,incoming,4908
2026-03,Bus US-131,outgoing,5350
2026-03,Gull Road,incoming,9962
2026-03,Gull Road,outgoing,10123
2026-03,Oakland Drive,incoming,6926
2026-03,Oakland Drive,outgoing,6862
2026-03,Portage Street,incoming,6695
2026-03,Portage Street,outgoing,7253
2026-03,South Westnedge Avenue,incoming,12045
2026-03,South Westnedge Avenue,outgoing,12608
2026-03,Stadium Drive,incoming,12965
2026-03,Stadium Drive,outgoing,13218
2026-03,West Main Street,incoming,13199
2026-03,West Main Street,outgoing,14112
2026-03,West Michigan Avenue,incoming,7403
2026-03,West Michigan Avenue,outgoing,6779
2026-04,Amvets Memorial Highway,incoming,7159
2026-04,Amvets Memorial Highway,outgoing,6993
2026-04,Bus US-131,incoming,5063
2026-04,Bus US-131,outgoing,5913
2026-04,Gull Road,incoming,10478
2026-04,Gull Road,outgoing,10532
2026-04,Oakland Drive,incoming,7989
2026-04,Oakland Drive,outgoing,6965
2026-04,Portage Street,incoming,6964
2026-04,Portage Street,outgoing,7411
2026-04,South Westnedge Avenue,incoming,13556
2026-04,South Westnedge Avenue,outgoing,13498
2026-04,Stadium Drive,incoming,13245
2026-04,Stadium Drive,outgoing,14246
2026-04,West Main Street,incoming,13333
2026-04,West Main Street,outgoing,14833
2026-04,West Michigan Avenue,incoming,8230
2026-04,West Michigan Avenue,outgoing,7753
2026-05,Amvets Memorial Highway,incoming,6672
2026-05,Amvets Memorial Highway,outgoing,6733
2026-05,Bus US-131,incoming,4796
2026-05,Bus US-131,outgoing,5887
2026-05,Gull Road,incoming,10348
2026-05,Gull Road,outgoing,10439
2026-05,Oakland Drive,incoming,6807
2026-05,Oakland Drive,outgoing,6351
2026-05,Portage Street,incoming,6980
2026-05,Portage Street,outgoing,7476
2026-05,South Westnedge Avenue,incoming,13003
2026-05,South Westnedge Avenue,outgoing,13180
2026-05,Stadium Drive,incoming,12246
2026-05,Stadium Drive,outgoing,12776
2026-05,West Main Street,incoming,13122
2026-05,West Main Street,outgoing,14297
2026-05,West Michigan Avenue,incoming,5283
2026-05,West Michigan Avenue,outgoing,5040
2026-06,Amvets Memorial Highway,incoming,7432
2026-06,Amvets Memorial Highway,outgoing,7076
2026-06,Bus US-131,incoming,5144
2026-06,Bus US-131,outgoing,6745
2026-06,Gull Road,incoming,10521
2026-06,Gull Road,outgoing,10503
2026-06,Oakland Drive,incoming,6371
2026-06,Oakland Drive,outgoing,5816
2026-06,Portage Street,incoming,6827
2026-06,Portage Street,outgoing,7285
2026-06,South Westnedge Avenue,incoming,13222
2026-06,South Westnedge Avenue,outgoing,13261
2026-06,Stadium Drive,incoming,11849
2026-06,Stadium Drive,outgoing,12516
2026-06,West Main Street,incoming,13145
2026-06,West Main Street,outgoing,14395
2026-06,West Michigan Avenue,incoming,5125
2026-06,West Michigan Avenue,outgoing,4803
