month,time_window,facility_type,facility,spaces,occupied
2024-05,Weekday afternoon,On-street,Zone 3,415,151
2024-05,Weekday afternoon,Ramps,Ramp 2,739,263
2024-05,Weekday afternoon,Ramps,Ramp 3,505,141
2024-05,Weekday afternoon,Surface lots,Lot 1,117,79
2024-05,Weekday afternoon,Surface lots,Lot 13,27,18
2024-05,Weekday afternoon,Surface lots,Lot 20,36,9
2024-05,Weekday afternoon,Surface lots,Lot 5,77,11
2024-05,Weekday afternoon,Surface lots,Lot 6,36,6
2024-05,Weekday afternoon,Surface lots,Lot 9,55,20
2024-05,Weekday evening,On-street,Zone 1,468,183
2024-05,Weekday evening,On-street,Zone 2,320,165
2024-05,Weekday evening,On-street,Zone 3,415,127
2024-05,Weekday evening,Ramps,Ramp 2,739,97
2024-05,Weekday evening,Ramps,Ramp 3,505,74
2024-05,Weekday evening,Surface lots,Lot 1,117,35
2024-05,Weekday evening,Surface lots,Lot 13,27,12
2024-05,Weekday evening,Surface lots,Lot 20,36,1
2024-05,Weekday evening,Surface lots,Lot 5,77,15
2024-05,Weekday evening,Surface lots,Lot 6,36,0
2024-05,Weekday evening,Surface lots,Lot 9,55,10
2024-05,Weekend evening,On-street,Zone 1,468,201
2024-05,Weekend evening,On-street,Zone 2,320,186
2024-05,Weekend evening,On-street,Zone 3,415,167
2024-05,Weekend evening,Ramps,Ramp 2,739,89
2024-05,Weekend evening,Ramps,Ramp 3,505,76
2024-05,Weekend evening,Surface lots,Lot 1,117,42
2024-05,Weekend evening,Surface lots,Lot 13,27,1
2024-05,Weekend evening,Surface lots,Lot 20,36,17
2024-05,Weekend evening,Surface lots,Lot 5,77,9
2024-05,Weekend evening,Surface lots,Lot 6,36,8
2024-05,Weekend evening,Surface lots,Lot 9,55,1
2024-06,Weekday afternoon,On-street,Zone 1,468,157
2024-06,Weekday afternoon,On-street,Zone 2,320,122
2024-06,Weekday afternoon,On-street,Zone 3,415,140
2024-06,Weekday afternoon,Ramps,Ramp 2,739,224
2024-06,Weekday afternoon,Ramps,Ramp 3,505,153
2024-06,Weekday afternoon,Surface lots,Lot 1,117,65
2024-06,Weekday afternoon,Surface lots,Lot 13,27,25
2024-06,Weekday afternoon,Surface lots,Lot 20,36,8
2024-06,Weekday afternoon,Surface lots,Lot 5,77,16
2024-06,Weekday afternoon,Surface lots,Lot 6,36,3
2024-06,Weekday afternoon,Surface lots,Lot 9,55,26
2024-06,Weekday evening,On-street,Zone 1,468,179
2024-06,Weekday evening,On-street,Zone 2,320,162
2024-06,Weekday evening,On-street,Zone 3,415,124
2024-06,Weekday evening,Ramps,Ramp 2,739,90
2024-06,Weekday evening,Ramps,Ramp 3,505,81
2024-06,Weekday evening,Surface lots,Lot 1,117,15
2024-06,Weekday evening,Surface lots,Lot 13,27,12
2024-06,Weekday evening,Surface lots,Lot 20,36,1
2024-06,Weekday evening,Surface lots,Lot 5,77,23
2024-06,Weekday evening,Surface lots,Lot 6,36,0
2024-06,Weekday evening,Surface lots,Lot 9,55,10
2024-06,Weekend evening,On-street,Zone 1,468,186
2024-06,Weekend evening,On-street,Zone 2,320,189
2024-06,Weekend evening,On-street,Zone 3,415,154
2024-06,Weekend evening,Ramps,Ramp 2,739,86
2024-06,Weekend evening,Ramps,Ramp 3,505,76
2024-06,Weekend evening,Surface lots,Lot 1,117,21
2024-06,Weekend evening,Surface lots,Lot 13,27,10
2024-06,Weekend evening,Surface lots,Lot 20,36,0
2024-06,Weekend evening,Surface lots,Lot 5,77,17
2024-06,Weekend evening,Surface lots,Lot 6,36,0
2024-06,Weekend evening,Surface lots,Lot 9,55,13
2024-07,Weekday afternoon,On-street,Zone 1,468,176
2024-07,Weekday afternoon,On-street,Zone 2,320,123
2024-07,Weekday afternoon,On-street,Zone 3,415,165
2024-07,Weekday afternoon,Ramps,Ramp 2,739,262
2024-07,Weekday afternoon,Ramps,Ramp 3,505,161
2024-07,Weekday afternoon,Surface lots,Lot 1,117,75
2024-07,Weekday afternoon,Surface lots,Lot 13,27,18
2024-07,Weekday afternoon,Surface lots,Lot 20,36,8
2024-07,Weekday afternoon,Surface lots,Lot 5,77,13
2024-07,Weekday afternoon,Surface lots,Lot 6,36,7
2024-07,Weekday afternoon,Surface lots,Lot 9,55,17
2024-07,Weekday evening,On-street,Zone 1,468,185
2024-07,Weekday evening,On-street,Zone 2,320,136
2024-07,Weekday evening,On-street,Zone 3,415,121
2024-07,Weekday evening,Ramps,Ramp 2,739,89
2024-07,Weekday evening,Ramps,Ramp 3,505,78
2024-07,Weekday evening,Surface lots,Lot 1,117,19
2024-07,Weekday evening,Surface lots,Lot 13,27,15
2024-07,Weekday evening,Surface lots,Lot 20,36,0
2024-07,Weekday evening,Surface lots,Lot 5,77,12
2024-07,Weekday evening,Surface lots,Lot 6,36,2
2024-07,Weekday evening,Surface lots,Lot 9,55,13
2024-07,Weekend evening,On-street,Zone 1,468,221
2024-07,Weekend evening,On-street,Zone 2,320,206
2024-07,Weekend evening,On-street,Zone 3,415,172
2024-07,Weekend evening,Ramps,Ramp 2,739,98
2024-07,Weekend evening,Ramps,Ramp 3,505,83
2024-07,Weekend evening,Surface lots,Lot 1,117,28
2024-07,Weekend evening,Surface lots,Lot 13,27,11
2024-07,Weekend evening,Surface lots,Lot 20,36,1
2024-07,Weekend evening,Surface lots,Lot 5,77,25
2024-07,Weekend evening,Surface lots,Lot 6,36,1
2024-07,Weekend evening,Surface lots,Lot 9,55,12
2024-08,Weekday afternoon,On-street,Zone 1,468,183
2024-08,Weekday afternoon,On-street,Zone 2,320,112
2024-08,Weekday afternoon,On-street,Zone 3,415,153
2024-08,Weekday afternoon,Ramps,Ramp 2,739,236
2024-08,Weekday afternoon,Ramps,Ramp 3,505,133
2024-08,Weekday afternoon,Surface lots,Lot 1,117,64
2024-08,Weekday afternoon,Surface lots,Lot 13,27,22
2024-08,Weekday afternoon,Surface lots,Lot 20,36,8
2024-08,Weekday afternoon,Surface lots,Lot 5,77,16
2024-08,Weekday afternoon,Surface lots,Lot 6,36,3
2024-08,Weekday afternoon,Surface lots,Lot 9,55,20
2024-08,Weekday evening,On-street,Zone 1,468,196
2024-08,Weekday evening,On-street,Zone 2,320,142
2024-08,Weekday evening,On-street,Zone 3,415,121
2024-08,Weekday evening,Ramps,Ramp 2,739,81
2024-08,Weekday evening,Ramps,Ramp 3,505,76
2024-08,Weekday evening,Surface lots,Lot 1,117,16
2024-08,Weekday evening,Surface lots,Lot 13,27,2
2024-08,Weekday evening,Surface lots,Lot 20,36,0
2024-08,Weekday evening,Surface lots,Lot 5,77,20
2024-08,Weekday evening,Surface lots,Lot 6,36,4
2024-08,Weekday evening,Surface lots,Lot 9,55,8
2024-08,Weekend evening,On-street,Zone 1,468,197
2024-08,Weekend evening,On-street,Zone 2,320,173
2024-08,Weekend evening,On-street,Zone 3,415,152
2024-08,Weekend evening,Ramps,Ramp 2,739,91
2024-08,Weekend evening,Ramps,Ramp 3,505,87
2024-08,Weekend evening,Surface lots,Lot 1,117,32
2024-08,Weekend evening,Surface lots,Lot 13,27,1
2024-08,Weekend evening,Surface lots,Lot 20,36,0
2024-08,Weekend evening,Surface lots,Lot 5,77,23
2024-08,Weekend evening,Surface lots,Lot 6,36,3
2024-08,Weekend evening,Surface lots,Lot 9,55,11
2024-09,Weekday afternoon,On-street,Zone 1,468,162
2024-09,Weekday afternoon,On-street,Zone 2,320,171
2024-09,Weekday afternoon,On-street,Zone 3,415,129
2024-09,Weekday afternoon,Ramps,Ramp 2,739,245
2024-09,Weekday afternoon,Ramps,Ramp 3,505,157
2024-09,Weekday afternoon,Surface lots,Lot 1,117,78
2024-09,Weekday afternoon,Surface lots,Lot 13,27,18
2024-09,Weekday afternoon,Surface lots,Lot 20,36,10
2024-09,Weekday afternoon,Surface lots,Lot 5,77,12
2024-09,Weekday afternoon,Surface lots,Lot 6,36,7
2024-09,Weekday afternoon,Surface lots,Lot 9,55,23
2024-09,Weekday evening,On-street,Zone 1,468,187
2024-09,Weekday evening,On-street,Zone 2,320,164
2024-09,Weekday evening,On-street,Zone 3,415,131
2024-09,Weekday evening,Ramps,Ramp 2,739,74
2024-09,Weekday evening,Ramps,Ramp 3,505,81
2024-09,Weekday evening,Surface lots,Lot 1,117,43
2024-09,Weekday evening,Surface lots,Lot 13,27,4
2024-09,Weekday evening,Surface lots,Lot 20,36,0
2024-09,Weekday evening,Surface lots,Lot 5,77,23
2024-09,Weekday evening,Surface lots,Lot 6,36,0
2024-09,Weekday evening,Surface lots,Lot 9,55,10
2024-09,Weekend evening,On-street,Zone 1,468,174
2024-09,Weekend evening,On-street,Zone 2,320,165
2024-09,Weekend evening,On-street,Zone 3,415,132
2024-09,Weekend evening,Ramps,Ramp 2,739,33
2024-09,Weekend evening,Ramps,Ramp 3,505,102
2024-09,Weekend evening,Surface lots,Lot 1,117,44
2024-09,Weekend evening,Surface lots,Lot 13,27,4
2024-09,Weekend evening,Surface lots,Lot 20,36,3
2024-09,Weekend evening,Surface lots,Lot 5,77,21
2024-09,Weekend evening,Surface lots,Lot 6,36,1
2024-09,Weekend evening,Surface lots,Lot 9,55,14
2024-10,Weekday afternoon,On-street,Zone 1,468,135
2024-10,Weekday afternoon,On-street,Zone 2,320,125
2024-10,Weekday afternoon,On-street,Zone 3,415,136
2024-10,Weekday afternoon,Ramps,Ramp 2,739,265
2024-10,Weekday afternoon,Ramps,Ramp 3,505,167
2024-10,Weekday afternoon,Surface lots,Lot 1,117,89
2024-10,Weekday afternoon,Surface lots,Lot 13,27,20
2024-10,Weekday afternoon,Surface lots,Lot 20,36,10
2024-10,Weekday afternoon,Surface lots,Lot 5,77,11
2024-10,Weekday afternoon,Surface lots,Lot 6,36,10
2024-10,Weekday afternoon,Surface lots,Lot 9,55,26
2024-10,Weekday evening,On-street,Zone 1,468,153
2024-10,Weekday evening,On-street,Zone 2,320,142
2024-10,Weekday evening,On-street,Zone 3,415,131
2024-10,Weekday evening,Ramps,Ramp 2,739,68
2024-10,Weekday evening,Ramps,Ramp 3,505,76
2024-10,Weekday evening,Surface lots,Lot 1,117,27
2024-10,Weekday evening,Surface lots,Lot 13,27,3
2024-10,Weekday evening,Surface lots,Lot 20,36,0
2024-10,Weekday evening,Surface lots,Lot 5,77,18
2024-10,Weekday evening,Surface lots,Lot 6,36,1
2024-10,Weekday evening,Surface lots,Lot 9,55,8
2024-10,Weekend evening,On-street,Zone 1,468,172
2024-10,Weekend evening,On-street,Zone 2,320,165
2024-10,Weekend evening,On-street,Zone 3,415,137
2024-10,Weekend evening,Ramps,Ramp 2,739,62
2024-10,Weekend evening,Ramps,Ramp 3,505,77
2024-10,Weekend evening,Surface lots,Lot 1,117,42
2024-10,Weekend evening,Surface lots,Lot 13,27,8
2024-10,Weekend evening,Surface lots,Lot 20,36,1
2024-10,Weekend evening,Surface lots,Lot 5,77,13
2024-10,Weekend evening,Surface lots,Lot 6,36,2
2024-10,Weekend evening,Surface lots,Lot 9,55,13
2024-11,Weekday afternoon,On-street,Zone 1,468,159
2024-11,Weekday afternoon,On-street,Zone 2,320,112
2024-11,Weekday afternoon,On-street,Zone 3,415,120
2024-11,Weekday afternoon,Ramps,Ramp 2,739,304
2024-11,Weekday afternoon,Ramps,Ramp 3,505,168
2024-11,Weekday afternoon,Surface lots,Lot 1,117,70
2024-11,Weekday afternoon,Surface lots,Lot 13,27,25
2024-11,Weekday afternoon,Surface lots,Lot 20,36,11
2024-11,Weekday afternoon,Surface lots,Lot 5,77,14
2024-11,Weekday afternoon,Surface lots,Lot 6,36,2
2024-11,Weekday afternoon,Surface lots,Lot 9,55,24
2024-11,Weekday evening,On-street,Zone 1,468,167
2024-11,Weekday evening,On-street,Zone 2,320,134
2024-11,Weekday evening,On-street,Zone 3,415,119
2024-11,Weekday evening,Ramps,Ramp 2,739,76
2024-11,Weekday evening,Ramps,Ramp 3,505,64
2024-11,Weekday evening,Surface lots,Lot 1,117,23
2024-11,Weekday evening,Surface lots,Lot 13,27,2
2024-11,Weekday evening,Surface lots,Lot 20,36,0
2024-11,Weekday evening,Surface lots,Lot 5,77,18
2024-11,Weekday evening,Surface lots,Lot 6,36,0
2024-11,Weekday evening,Surface lots,Lot 9,55,12
2024-11,Weekend evening,On-street,Zone 1,468,179
2024-11,Weekend evening,On-street,Zone 2,320,169
2024-11,Weekend evening,On-street,Zone 3,415,143
2024-11,Weekend evening,Ramps,Ramp 2,739,70
2024-11,Weekend evening,Ramps,Ramp 3,505,92
2024-11,Weekend evening,Surface lots,Lot 1,117,38
2024-11,Weekend evening,Surface lots,Lot 13,27,3
2024-11,Weekend evening,Surface lots,Lot 20,36,0
2024-11,Weekend evening,Surface lots,Lot 5,77,10
2024-11,Weekend evening,Surface lots,Lot 6,36,1
2024-11,Weekend evening,Surface lots,Lot 9,55,12
2024-12,Weekday afternoon,On-street,Zone 1,468,112
2024-12,Weekday afternoon,On-street,Zone 2,320,120
2024-12,Weekday afternoon,On-street,Zone 3,415,122
2024-12,Weekday afternoon,Ramps,Ramp 2,739,244
2024-12,Weekday afternoon,Ramps,Ramp 3,505,160
2024-12,Weekday afternoon,Surface lots,Lot 1,117,62
2024-12,Weekday afternoon,Surface lots,Lot 13,27,18
2024-12,Weekday afternoon,Surface lots,Lot 20,36,7
2024-12,Weekday afternoon,Surface lots,Lot 5,77,11
2024-12,Weekday afternoon,Surface lots,Lot 6,36,6
2024-12,Weekday afternoon,Surface lots,Lot 9,55,32
2024-12,Weekday evening,On-street,Zone 1,468,176
2024-12,Weekday evening,On-street,Zone 2,320,183
2024-12,Weekday evening,On-street,Zone 3,415,147
2024-12,Weekday evening,Ramps,Ramp 2,739,73
2024-12,Weekday evening,Ramps,Ramp 3,505,68
2024-12,Weekday evening,Surface lots,Lot 1,117,13
2024-12,Weekday evening,Surface lots,Lot 13,27,5
2024-12,Weekday evening,Surface lots,Lot 20,36,0
2024-12,Weekday evening,Surface lots,Lot 5,77,12
2024-12,Weekday evening,Surface lots,Lot 6,36,0
2024-12,Weekday evening,Surface lots,Lot 9,55,13
2024-12,Weekend evening,On-street,Zone 1,468,197
2024-12,Weekend evening,On-street,Zone 2,320,186
2024-12,Weekend evening,On-street,Zone 3,415,152
2024-12,Weekend evening,Ramps,Ramp 2,739,77
2024-12,Weekend evening,Ramps,Ramp 3,505,106
2024-12,Weekend evening,Surface lots,Lot 1,117,31
2024-12,Weekend evening,Surface lots,Lot 13,27,5
2024-12,Weekend evening,Surface lots,Lot 20,36,2
2024-12,Weekend evening,Surface lots,Lot 5,77,15
2024-12,Weekend evening,Surface lots,Lot 6,36,22
2024-12,Weekend evening,Surface lots,Lot 9,55,9
2025-01,Weekday afternoon,On-street,Zone 1,468,148
2025-01,Weekday afternoon,On-street,Zone 2,320,141
2025-01,Weekday afternoon,On-street,Zone 3,415,180
2025-01,Weekday afternoon,Ramps,Ramp 2,739,248
2025-01,Weekday afternoon,Ramps,Ramp 3,505,155
2025-01,Weekday afternoon,Surface lots,Lot 1,117,73
2025-01,Weekday afternoon,Surface lots,Lot 13,27,25
2025-01,Weekday afternoon,Surface lots,Lot 20,36,10
2025-01,Weekday afternoon,Surface lots,Lot 5,77,8
2025-01,Weekday afternoon,Surface lots,Lot 6,36,11
2025-01,Weekday afternoon,Surface lots,Lot 9,55,27
2025-01,Weekday evening,On-street,Zone 1,468,163
2025-01,Weekday evening,On-street,Zone 2,320,136
2025-01,Weekday evening,On-street,Zone 3,415,152
2025-01,Weekday evening,Ramps,Ramp 2,739,86
2025-01,Weekday evening,Ramps,Ramp 3,505,72
2025-01,Weekday evening,Surface lots,Lot 1,117,10
2025-01,Weekday evening,Surface lots,Lot 13,27,7
2025-01,Weekday evening,Surface lots,Lot 20,36,0
2025-01,Weekday evening,Surface lots,Lot 5,77,9
2025-01,Weekday evening,Surface lots,Lot 6,36,0
2025-01,Weekday evening,Surface lots,Lot 9,55,6
2025-01,Weekend evening,On-street,Zone 1,468,202
2025-01,Weekend evening,On-street,Zone 2,320,178
2025-01,Weekend evening,On-street,Zone 3,415,160
2025-01,Weekend evening,Ramps,Ramp 2,739,79
2025-01,Weekend evening,Ramps,Ramp 3,505,74
2025-01,Weekend evening,Surface lots,Lot 1,117,20
2025-01,Weekend evening,Surface lots,Lot 13,27,3
2025-01,Weekend evening,Surface lots,Lot 20,36,2
2025-01,Weekend evening,Surface lots,Lot 5,77,16
2025-01,Weekend evening,Surface lots,Lot 6,36,20
2025-01,Weekend evening,Surface lots,Lot 9,55,6
2025-02,Weekday afternoon,On-street,Zone 1,468,136
2025-02,Weekday afternoon,On-street,Zone 2,320,121
2025-02,Weekday afternoon,On-street,Zone 3,415,105
2025-02,Weekday afternoon,Ramps,Ramp 2,739,232
2025-02,Weekday afternoon,Ramps,Ramp 3,505,130
2025-02,Weekday afternoon,Surface lots,Lot 1,117,61
2025-02,Weekday afternoon,Surface lots,Lot 13,27,22
2025-02,Weekday afternoon,Surface lots,Lot 20,36,6
2025-02,Weekday afternoon,Surface lots,Lot 5,77,13
2025-02,Weekday afternoon,Surface lots,Lot 6,36,7
2025-02,Weekday afternoon,Surface lots,Lot 9,55,33
2025-02,Weekday evening,On-street,Zone 1,468,145
2025-02,Weekday evening,On-street,Zone 2,320,130
2025-02,Weekday evening,On-street,Zone 3,415,142
2025-02,Weekday evening,Ramps,Ramp 2,739,82
2025-02,Weekday evening,Ramps,Ramp 3,505,76
2025-02,Weekday evening,Surface lots,Lot 1,117,12
2025-02,Weekday evening,Surface lots,Lot 13,27,8
2025-02,Weekday evening,Surface lots,Lot 20,36,0
2025-02,Weekday evening,Surface lots,Lot 5,77,15
2025-02,Weekday evening,Surface lots,Lot 6,36,1
2025-02,Weekday evening,Surface lots,Lot 9,55,10
2025-02,Weekend evening,On-street,Zone 1,468,183
2025-02,Weekend evening,On-street,Zone 2,320,150
2025-02,Weekend evening,On-street,Zone 3,415,166
2025-02,Weekend evening,Ramps,Ramp 2,739,66
2025-02,Weekend evening,Ramps,Ramp 3,505,87
2025-02,Weekend evening,Surface lots,Lot 1,117,36
2025-02,Weekend evening,Surface lots,Lot 13,27,4
2025-02,Weekend evening,Surface lots,Lot 20,36,0
2025-02,Weekend evening,Surface lots,Lot 5,77,14
2025-02,Weekend evening,Surface lots,Lot 6,36,14
2025-02,Weekend evening,Surface lots,Lot 9,55,6
2025-03,Weekday afternoon,On-street,Zone 1,468,151
2025-03,Weekday afternoon,On-street,Zone 2,320,119
2025-03,Weekday afternoon,On-street,Zone 3,415,160
2025-03,Weekday afternoon,Ramps,Ramp 2,739,223
2025-03,Weekday afternoon,Ramps,Ramp 3,505,156
2025-03,Weekday afternoon,Surface lots,Lot 1,117,59
2025-03,Weekday afternoon,Surface lots,Lot 13,27,19
2025-03,Weekday afternoon,Surface lots,Lot 20,36,8
2025-03,Weekday afternoon,Surface lots,Lot 5,77,12
2025-03,Weekday afternoon,Surface lots,Lot 6,36,6
2025-03,Weekday afternoon,Surface lots,Lot 9,55,38
2025-03,Weekday evening,On-street,Zone 1,468,106
2025-03,Weekday evening,On-street,Zone 2,320,109
2025-03,Weekday evening,On-street,Zone 3,415,114
2025-03,Weekday evening,Ramps,Ramp 2,739,73
2025-03,Weekday evening,Ramps,Ramp 3,505,68
2025-03,Weekday evening,Surface lots,Lot 1,117,28
2025-03,Weekday evening,Surface lots,Lot 13,27,3
2025-03,Weekday evening,Surface lots,Lot 20,36,1
2025-03,Weekday evening,Surface lots,Lot 5,77,13
2025-03,Weekday evening,Surface lots,Lot 6,36,1
2025-03,Weekday evening,Surface lots,Lot 9,55,10
2025-03,Weekend evening,On-street,Zone 1,468,177
2025-03,Weekend evening,On-street,Zone 2,320,162
2025-03,Weekend evening,On-street,Zone 3,415,149
2025-03,Weekend evening,Ramps,Ramp 2,739,59
2025-03,Weekend evening,Ramps,Ramp 3,505,88
2025-03,Weekend evening,Surface lots,Lot 1,117,30
2025-03,Weekend evening,Surface lots,Lot 13,27,8
2025-03,Weekend evening,Surface lots,Lot 20,36,1
2025-03,Weekend evening,Surface lots,Lot 5,77,23
2025-03,Weekend evening,Surface lots,Lot 6,36,22
2025-03,Weekend evening,Surface lots,Lot 9,55,10
2025-04,Weekday afternoon,On-street,Zone 1,468,170
2025-04,Weekday afternoon,On-street,Zone 2,320,138
2025-04,Weekday afternoon,On-street,Zone 3,415,165
2025-04,Weekday afternoon,Ramps,Ramp 2,739,249
2025-04,Weekday afternoon,Ramps,Ramp 3,505,150
2025-04,Weekday afternoon,Surface lots,Lot 1,117,53
2025-04,Weekday afternoon,Surface lots,Lot 13,27,13
2025-04,Weekday afternoon,Surface lots,Lot 20,36,10
2025-04,Weekday afternoon,Surface lots,Lot 5,77,16
2025-04,Weekday afternoon,Surface lots,Lot 6,36,7
2025-04,Weekday afternoon,Surface lots,Lot 9,55,32
2025-04,Weekday evening,On-street,Zone 1,468,104
2025-04,Weekday evening,On-street,Zone 2,320,122
2025-04,Weekday evening,On-street,Zone 3,415,131
2025-04,Weekday evening,Ramps,Ramp 2,739,89
2025-04,Weekday evening,Ramps,Ramp 3,505,90
2025-04,Weekday evening,Surface lots,Lot 1,117,30
2025-04,Weekday evening,Surface lots,Lot 13,27,5
2025-04,Weekday evening,Surface lots,Lot 20,36,2
2025-04,Weekday evening,Surface lots,Lot 5,77,23
2025-04,Weekday evening,Surface lots,Lot 6,36,15
2025-04,Weekday evening,Surface lots,Lot 9,55,8
2025-04,Weekend evening,On-street,Zone 1,468,181
2025-04,Weekend evening,On-street,Zone 2,320,172
2025-04,Weekend evening,On-street,Zone 3,415,163
2025-04,Weekend evening,Ramps,Ramp 2,739,81
2025-04,Weekend evening,Ramps,Ramp 3,505,111
2025-04,Weekend evening,Surface lots,Lot 1,117,35
2025-04,Weekend evening,Surface lots,Lot 13,27,7
2025-04,Weekend evening,Surface lots,Lot 20,36,4
2025-04,Weekend evening,Surface lots,Lot 5,77,22
2025-04,Weekend evening,Surface lots,Lot 6,36,23
2025-04,Weekend evening,Surface lots,Lot 9,55,5
2025-05,Weekday afternoon,On-street,Zone 1,468,152
2025-05,Weekday afternoon,On-street,Zone 2,320,131
2025-05,Weekday afternoon,On-street,Zone 3,415,159
2025-05,Weekday afternoon,Ramps,Ramp 2,739,237
2025-05,Weekday afternoon,Ramps,Ramp 3,505,148
2025-05,Weekday afternoon,Surface lots,Lot 1,117,60
2025-05,Weekday afternoon,Surface lots,Lot 13,27,18
2025-05,Weekday afternoon,Surface lots,Lot 20,36,9
2025-05,Weekday afternoon,Surface lots,Lot 5,77,14
2025-05,Weekday afternoon,Surface lots,Lot 6,36,8
2025-05,Weekday afternoon,Surface lots,Lot 9,55,37
2025-05,Weekday evening,On-street,Zone 1,468,174
2025-05,Weekday evening,On-street,Zone 2,320,131
2025-05,Weekday evening,On-street,Zone 3,415,132
2025-05,Weekday evening,Ramps,Ramp 2,739,93
2025-05,Weekday evening,Ramps,Ramp 3,505,84
2025-05,Weekday evening,Surface lots,Lot 1,117,26
2025-05,Weekday evening,Surface lots,Lot 13,27,4
2025-05,Weekday evening,Surface lots,Lot 20,36,1
2025-05,Weekday evening,Surface lots,Lot 5,77,18
2025-05,Weekday evening,Surface lots,Lot 6,36,4
2025-05,Weekday evening,Surface lots,Lot 9,55,11
2025-05,Weekend evening,On-street,Zone 1,468,185
2025-05,Weekend evening,On-street,Zone 2,320,169
2025-05,Weekend evening,On-street,Zone 3,415,165
2025-05,Weekend evening,Ramps,Ramp 2,739,77
2025-05,Weekend evening,Ramps,Ramp 3,505,94
2025-05,Weekend evening,Surface lots,Lot 1,117,37
2025-05,Weekend evening,Surface lots,Lot 13,27,4
2025-05,Weekend evening,Surface lots,Lot 20,36,2
2025-05,Weekend evening,Surface lots,Lot 5,77,16
2025-05,Weekend evening,Surface lots,Lot 6,36,21
2025-05,Weekend evening,Surface lots,Lot 9,55,9
2025-06,Weekday afternoon,On-street,Zone 1,468,139
2025-06,Weekday afternoon,On-street,Zone 2,320,91
2025-06,Weekday afternoon,On-street,Zone 3,415,136
2025-06,Weekday afternoon,Ramps,Ramp 2,739,243
2025-06,Weekday afternoon,Ramps,Ramp 3,505,130
2025-06,Weekday afternoon,Surface lots,Lot 1,117,61
2025-06,Weekday afternoon,Surface lots,Lot 13,27,12
2025-06,Weekday afternoon,Surface lots,Lot 20,36,10
2025-06,Weekday afternoon,Surface lots,Lot 5,77,9
2025-06,Weekday afternoon,Surface lots,Lot 6,36,6
2025-06,Weekday afternoon,Surface lots,Lot 9,55,32
2025-06,Weekday evening,On-street,Zone 1,468,131
2025-06,Weekday evening,On-street,Zone 2,320,117
2025-06,Weekday evening,On-street,Zone 3,415,128
2025-06,Weekday evening,Ramps,Ramp 2,739,66
2025-06,Weekday evening,Ramps,Ramp 3,505,78
2025-06,Weekday evening,Surface lots,Lot 1,117,42
2025-06,Weekday evening,Surface lots,Lot 13,27,4
2025-06,Weekday evening,Surface lots,Lot 20,36,2
2025-06,Weekday evening,Surface lots,Lot 5,77,15
2025-06,Weekday evening,Surface lots,Lot 6,36,2
2025-06,Weekday evening,Surface lots,Lot 9,55,10
2025-06,Weekend evening,On-street,Zone 1,468,176
2025-06,Weekend evening,On-street,Zone 2,320,157
2025-06,Weekend evening,On-street,Zone 3,415,172
2025-06,Weekend evening,Ramps,Ramp 2,739,65
2025-06,Weekend evening,Ramps,Ramp 3,505,80
2025-06,Weekend evening,Surface lots,Lot 1,117,25
2025-06,Weekend evening,Surface lots,Lot 13,27,8
2025-06,Weekend evening,Surface lots,Lot 20,36,1
2025-06,Weekend evening,Surface lots,Lot 5,77,18
2025-06,Weekend evening,Surface lots,Lot 6,36,3
2025-06,Weekend evening,Surface lots,Lot 9,55,10
2025-07,Weekday afternoon,On-street,Zone 1,468,173
2025-07,Weekday afternoon,On-street,Zone 2,320,112
2025-07,Weekday afternoon,On-street,Zone 3,415,144
2025-07,Weekday afternoon,Ramps,Ramp 2,739,257
2025-07,Weekday afternoon,Ramps,Ramp 3,505,156
2025-07,Weekday afternoon,Surface lots,Lot 1,117,58
2025-07,Weekday afternoon,Surface lots,Lot 13,27,11
2025-07,Weekday afternoon,Surface lots,Lot 20,36,13
2025-07,Weekday afternoon,Surface lots,Lot 5,77,18
2025-07,Weekday afternoon,Surface lots,Lot 6,36,11
2025-07,Weekday afternoon,Surface lots,Lot 9,55,33
2025-07,Weekday evening,On-street,Zone 1,468,116
2025-07,Weekday evening,On-street,Zone 2,320,121
2025-07,Weekday evening,On-street,Zone 3,415,118
2025-07,Weekday evening,Ramps,Ramp 2,739,98
2025-07,Weekday evening,Ramps,Ramp 3,505,87
2025-07,Weekday evening,Surface lots,Lot 1,117,70
2025-07,Weekday evening,Surface lots,Lot 13,27,10
2025-07,Weekday evening,Surface lots,Lot 20,36,8
2025-07,Weekday evening,Surface lots,Lot 5,77,25
2025-07,Weekday evening,Surface lots,Lot 6,36,3
2025-07,Weekday evening,Surface lots,Lot 9,55,15
2025-07,Weekend evening,On-street,Zone 1,468,165
2025-07,Weekend evening,On-street,Zone 2,320,192
2025-07,Weekend evening,On-street,Zone 3,415,174
2025-07,Weekend evening,Ramps,Ramp 2,739,103
2025-07,Weekend evening,Ramps,Ramp 3,505,96
2025-07,Weekend evening,Surface lots,Lot 1,117,45
2025-07,Weekend evening,Surface lots,Lot 13,27,12
2025-07,Weekend evening,Surface lots,Lot 20,36,6
2025-07,Weekend evening,Surface lots,Lot 5,77,25
2025-07,Weekend evening,Surface lots,Lot 6,36,3
2025-07,Weekend evening,Surface lots,Lot 9,55,10
2025-08,Weekday afternoon,On-street,Zone 1,468,155
2025-08,Weekday afternoon,On-street,Zone 2,320,101
2025-08,Weekday afternoon,On-street,Zone 3,415,120
2025-08,Weekday afternoon,Ramps,Ramp 2,739,266
